STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Reporting country,FLW,Flow,PAR,Partner country,CAT,End-use,IND,Industry,VAL,Variable,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,PRT,Portugal,EXPO,Exports,POL,Poland,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,838.292,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,IRL,Ireland,EXPO,Exports,DNK,Denmark,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,3987.501,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,IRL,Ireland,EXPO,Exports,GBR,United Kingdom,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,15002423.993,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,HUN,Hungary,EXPO,Exports,IRL,Ireland,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,634.785,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,FIN,Finland,IMPO,Imports,BEL,Belgium,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,18031.464,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,DEU,Germany,IMPO,Imports,POL,Poland,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,281150.6,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,ESP,Spain,EXPO,Exports,DEU,Germany,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,4031774.252,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,CZE,Czechia,EXPO,Exports,IRL,Ireland,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,152.66,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,ESP,Spain,EXPO,Exports,AUS,Australia,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,9318.377,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,FRA,France,IMPO,Imports,DEU,Germany,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,698907.042,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,GBR,United Kingdom,EXPO,Exports,BEL,Belgium,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,147091.026,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,ITA,Italy,IMPO,Imports,KOR,Korea,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,865.032,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,PRT,Portugal,EXPO,Exports,FIN,Finland,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,650.053,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,KOR,Korea,EXPO,Exports,POL,Poland,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,2479.793,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,HUN,Hungary,EXPO,Exports,FIN,Finland,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,366532.977,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,SWE,Sweden,EXPO,Exports,GBR,United Kingdom,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,312373.157,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,USA,United States,EXPO,Exports,ITA,Italy,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,529093.069,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,NLD,Netherlands,IMPO,Imports,FIN,Finland,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,30002.387,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,PRT,Portugal,EXPO,Exports,DEU,Germany,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,6925597.356,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,IRL,Ireland,IMPO,Imports,PRT,Portugal,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,5749.19,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,HUN,Hungary,IMPO,Imports,IRL,Ireland,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,505000.477,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,HUN,Hungary,EXPO,Exports,JPN,Japan,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,1426.064,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,ESP,Spain,EXPO,Exports,POL,Poland,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,579645.654,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,ESP,Spain,EXPO,Exports,IRL,Ireland,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,1574193.866,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,LUX,Luxembourg,IMPO,Imports,FRA,France,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,111440.223,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,NLD,Netherlands,IMPO,Imports,FIN,Finland,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,4531059.114,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,POL,Poland,IMPO,Imports,AUS,Australia,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,104047.421,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,HUN,Hungary,EXPO,Exports,BEL,Belgium,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,2094726.45,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,IRL,Ireland,IMPO,Imports,BEL,Belgium,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,15340.184,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,SWE,Sweden,IMPO,Imports,IRL,Ireland,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,5507.245,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,SWE,Sweden,IMPO,Imports,LUX,Luxembourg,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,81.563,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,USA,United States,EXPO,Exports,GBR,United Kingdom,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,502096.078,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,SWE,Sweden,IMPO,Imports,FRA,France,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,5547042.622,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,LUX,Luxembourg,IMPO,Imports,SWE,Sweden,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,333.128,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,LUX,Luxembourg,EXPO,Exports,FIN,Finland,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,55816.519,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,NLD,Netherlands,EXPO,Exports,GRC,Greece,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,2404824.087,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,NLD,Netherlands,EXPO,Exports,BEL,Belgium,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,415735.068,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,AUS,Australia,IMPO,Imports,ITA,Italy,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,20940.323,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,FIN,Finland,IMPO,Imports,KOR,Korea,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,98.957,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,SVK,Slovak Republic,IMPO,Imports,AUS,Australia,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,136.517,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,JPN,Japan,EXPO,Exports,SWE,Sweden,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,282.555,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,SWE,Sweden,EXPO,Exports,USA,United States,TOTAL,Total trade in goods,D05T08,Mining and quarrying [B],VALUE,Values in thousand USD,2017,,91071.928,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,GRC,Greece,EXPO,Exports,GBR,United Kingdom,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,1146922.36,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,AUS,Australia,EXPO,Exports,SWE,Sweden,TOTAL,Total trade in goods,D01T03,"Agriculture, forestry and fishing [A]",VALUE,Values in thousand USD,2017,,74.282,,A,,USD,US Dollar,3,Thousands,,
DATAFLOW,OECD:DF_BTDIXE_I4(1.0),Bilateral Trade in Goods by Industry and End-use (BTDIxE),I,GBR,United Kingdom,EXPO,Exports,BEL,Belgium,TOTAL,Total trade in goods,D10T32,Manufacturing [C],VALUE,Values in thousand USD,2017,,14313380.75,,A,,USD,US Dollar,3,Thousands,,
