STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,ACTIVITY,Economic activity,MEASURE,Measure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,EST_METHOD,Estimation methodology,OBS_STATUS,Observation status
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,DNK,Denmark,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,86809,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,ITA,Italy,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,59767.4,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,SWE,Sweden,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,48490,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,JPN,Japan,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,320370200,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,BEL,Belgium,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,228746.4,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,JPN,Japan,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,817700,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,GRC,Greece,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,52590.4706,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,USA,United States,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,488158,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,POL,Poland,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,55779,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,DNK,Denmark,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,737631,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,ITA,Italy,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,965509.3,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,USA,United States,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,5780558,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,GBR,United Kingdom,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,31281,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,NLD,Netherlands,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,32801,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,HUN,Hungary,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,120092,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,SVK,Slovak Republic,A,"Agriculture, forestry and fishing",P1,Output,V,Current prices,XDC,National currency,2017,,3952.811,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,ESP,Spain,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,4330,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,IRL,Ireland,B,Mining and quarrying,P1,Output,V,Current prices,XDC,National currency,2017,,1790.143,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN(1.0),STAN Database for Structural Analysis,I,A,Annual,SWE,Sweden,C,Manufacturing,P1,Output,V,Current prices,XDC,National currency,2017,,1882555,,,,6,Millions,1,One,,,A,Normal value
